type,package,filename,lazy-1,lazy-2,strict
test,diffobj,test-context,TRUE,TRUE,TRUE
test,diffobj,test-core,TRUE,TRUE,TRUE
test,diffobj,test-diffChr,TRUE,TRUE,TRUE
test,diffobj,test-diffDeparse,TRUE,TRUE,TRUE
test,diffobj,test-diffObj,TRUE,TRUE,TRUE
test,diffobj,test-diffPrint,TRUE,TRUE,TRUE
test,diffobj,test-diffStr,TRUE,TRUE,TRUE
test,diffobj,test-file,TRUE,TRUE,TRUE
test,diffobj,test-guide,TRUE,TRUE,TRUE
test,diffobj,test-html,TRUE,TRUE,TRUE
test,diffobj,test-limit,TRUE,TRUE,TRUE
test,diffobj,test-methods,TRUE,TRUE,TRUE
test,diffobj,test-misc,TRUE,TRUE,TRUE
test,diffobj,test-pager,TRUE,TRUE,TRUE
test,diffobj,test-rdiff,TRUE,TRUE,TRUE
test,diffobj,test-s4,TRUE,TRUE,TRUE
test,diffobj,test-scaling,TRUE,TRUE,TRUE
test,diffobj,test-ses,TRUE,TRUE,TRUE
test,diffobj,test-style,TRUE,TRUE,TRUE
test,diffobj,test-subset,TRUE,TRUE,TRUE
test,diffobj,test-summary,TRUE,TRUE,TRUE
test,diffobj,test-text,TRUE,TRUE,TRUE
test,diffobj,test-trim,TRUE,TRUE,TRUE
test,diffobj,test-warnings,TRUE,TRUE,TRUE
test,diffobj,zz-test-check,TRUE,FALSE,FALSE
test,distrEx,Tests,TRUE,TRUE,TRUE
test,diversitree,helper-diversitree,TRUE,TRUE,TRUE
test,diversitree,run-tests,TRUE,TRUE,TRUE
test,diversitree,test-asr,TRUE,TRUE,TRUE
test,diversitree,test-asr-t,TRUE,TRUE,TRUE
test,diversitree,test-bd,TRUE,TRUE,TRUE
test,diversitree,test-bd-split,TRUE,TRUE,TRUE
test,diversitree,test-bd-t,TRUE,TRUE,TRUE
test,diversitree,test-bisse,TRUE,TRUE,TRUE
test,diversitree,test-bisse-split,TRUE,TRUE,TRUE
test,diversitree,test-bisse-t,TRUE,TRUE,TRUE
test,diversitree,test-bisse-td,TRUE,TRUE,TRUE
test,diversitree,test-bisseness,TRUE,TRUE,TRUE
test,diversitree,test-bm,TRUE,TRUE,TRUE
